Alpha,Beta
8447.513016,27057.18267
29531.21906,289542.7365
19668.29319,69837.46272
13440.05253,94032.9524
8465.604305,40612.17776
3407.461979,76222.93296
6765.630125,35497.95448
6577.685292,48460.5371
10419.88228,54885.45167
1959.179237,11978.45097
9157.870709,59419.58147
13986.76135,128266.5085
2318.44668,27079.14637
624.1832628,19972.71072
5272.907335,57889.80882
1447.065364,5973.668219
13699.08021,80717.42534
2007.182949,14236.46981
2428.054522,8651.909318
2905.176113,10867.63045
1042.629076,10002.86443
956.696003,4307.680576
1123.769016,12742.53816
4208.738863,35100.74521
918.2094632,6957.956164
333.2917398,5812.806978
481.3059019,5468.772122
2817.336265,12373.23733
975.4257484,2553.182559
1314.787887,4330.059095
5759,841.5318642
6858,3485.132798
8753,3710.340807
8223,2822.150612
896.897203,2415.402067
0,71608.66318
0,2139.641858
8227,2217.99875
1184.969535,6489.885657
0,6246.072398
6501.417217,22694.96561
3108.047371,13743.89911
2111.158562,13083.40168
2689.545627,11381.94142
2255.406015,10288.39297
1340.48555,12862.71735
170.1565829,9175.95476
1005.921454,8871.643492
860.4849153,5718.272676
321.0213413,2776.168247
677.6494026,3358.303829
1033.878523,2114.370607
631.1448999,2024.91119
636.3082694,2747.157197
936.6626694,3519.413298
1196.619212,2752.885292
596.4286912,1722.245806
703.5778514,1736.439881
275.2376578,2041.999158
660.6756138,3697.963966
473.730531,2431.895173
269.824766,1537.62972
600.3312722,1662.59641
357.9183299,1345.887382
130.7297335,1934.573071
120.4969893,1796.68542
333.4545612,1722.628869
463.869808,1365.053338
276.4821781,1549.886837
754.3631016,709.8053083
630.2187461,950.5622386
250.0976182,1271.964018
305.8796573,1251.794666
161.5131528,1378.191796
509.5530347,859.3518316
533.4903442,1639.525354
713.9242245,2054.373107
0,3479.724174
222.7154842,1584.671291
155.5967823,616.3508723
4189.911909,13173.38357
1794.624596,16939.05551
4285.217315,21177.93125
1369.803898,16805.68598
3913.381573,20750.61442
3065.032263,8033.151695
1735.31509,8109.973165
3033.985517,7585.368831
2738.710988,9958.886691
996.6003587,8450.947659
2890.878379,8905.299026
360.1747429,6766.506335
1904.540005,11777.36668
4844.760023,8084.311579
2856.754659,7604.594108
1963.545526,11146.17285
1786.151099,14520.00183
3509.777191,10104.24725
2155.526693,11369.14401
2031.9351,12960.72938
1156.131289,6097.318497
1938.794022,11600.30002
1640.115779,7197.415619
239.1702354,3453.634039
1115.227646,5418.139349
1571.365719,4716.264025
406.2056425,5186.99355
1471.517881,8679.225325
1097.93617,3450.257908
546.6081535,1482.813484
297.1288861,4351.831154
686.6643726,1894.493843
935.1937645,2294.334411
2628.269265,8000.996649
467.0946426,7118.58738
0,3979.880241
0,3449.260861
0,3842.226536
826.0838203,4143.482466
0,7262.747212
4875.482624,25152.74763
1253.652155,2601.610115
727.8212478,3644.511115
761.8763711,1792.812081
616.6737441,1977.285869
426.3218327,4896.96758
769.70277,4134.673803
462.6770877,10921.8473
1554.802748,2802.979035
999.4160261,4927.988595
1281.939136,2342.80078
736.5841955,1282.737475
461.3241432,2415.58256
3211.884794,14059.08043
2892.24978,6557.074632
1070.519892,1649.154997
759.8140439,1599.071125
347.3970462,1983.866398
831.8412642,2317.515329
462.1438746,1835.810783
146.9276557,1187.90168
710.8067985,1994.531747
124.44506,1071.937051
954.1691777,1581.625247
312.0630123,1765.156463
165.434799,1499.239849
2613.799732,4218.621942
411.3784665,2206.36986
308.8256551,1253.321348
319.3135854,682.7579711
103.0096468,832.1788553
337.8967232,1343.768461
408.455401,3623.314189
1179.18513,6824.608597
3582.539445,25262.24127
0,1149.616992
0,729.291317
0,5516.041779
0,1498.183449
0,4038.078873
