Alpha,Beta,Target
8447.513016,27057.18267,0
29531.21906,289542.7365,0
19668.29319,69837.46272,0
13440.05253,94032.9524,0
8465.604305,40612.17776,0
3407.461979,76222.93296,0
6765.630125,35497.95448,0
6577.685292,48460.5371,0
10419.88228,54885.45167,0
1959.179237,11978.45097,0
9157.870709,59419.58147,0
13986.76135,128266.5085,0
2318.44668,27079.14637,0
624.1832628,19972.71072,0
5272.907335,57889.80882,0
1447.065364,5973.668219,0
13699.08021,80717.42534,0
2007.182949,14236.46981,0
2428.054522,8651.909318,0
2905.176113,10867.63045,0
1042.629076,10002.86443,0
956.696003,4307.680576,0
1123.769016,12742.53816,0
4208.738863,35100.74521,0
918.2094632,6957.956164,0
333.2917398,5812.806978,0
481.3059019,5468.772122,0
2817.336265,12373.23733,0
975.4257484,2553.182559,0
1314.787887,4330.059095,0
5759,841.5318642,0
6858,3485.132798,0
8753,3710.340807,0
8223,2822.150612,0
896.897203,2415.402067,0
0,71608.66318,0
0,2139.641858,0
8227,2217.99875,0
1184.969535,6489.885657,0
0,6246.072398,0
6501.417217,22694.96561,1
3108.047371,13743.89911,1
2111.158562,13083.40168,1
2689.545627,11381.94142,1
2255.406015,10288.39297,1
1340.48555,12862.71735,1
170.1565829,9175.95476,1
1005.921454,8871.643492,1
860.4849153,5718.272676,1
321.0213413,2776.168247,1
677.6494026,3358.303829,1
1033.878523,2114.370607,1
631.1448999,2024.91119,1
636.3082694,2747.157197,1
936.6626694,3519.413298,1
1196.619212,2752.885292,1
596.4286912,1722.245806,1
703.5778514,1736.439881,1
275.2376578,2041.999158,1
660.6756138,3697.963966,1
473.730531,2431.895173,1
269.824766,1537.62972,1
600.3312722,1662.59641,1
357.9183299,1345.887382,1
130.7297335,1934.573071,1
120.4969893,1796.68542,1
333.4545612,1722.628869,1
463.869808,1365.053338,1
276.4821781,1549.886837,1
754.3631016,709.8053083,1
630.2187461,950.5622386,1
250.0976182,1271.964018,1
305.8796573,1251.794666,1
161.5131528,1378.191796,1
509.5530347,859.3518316,1
533.4903442,1639.525354,1
713.9242245,2054.373107,1
0,3479.724174,1
222.7154842,1584.671291,1
155.5967823,616.3508723,1
