Alpha,Beta
6501.417217,22694.96561
3108.047371,13743.89911
2111.158562,13083.40168
2689.545627,11381.94142
2255.406015,10288.39297
1340.48555,12862.71735
170.1565829,9175.95476
1005.921454,8871.643492
860.4849153,5718.272676
321.0213413,2776.168247
677.6494026,3358.303829
1033.878523,2114.370607
631.1448999,2024.91119
636.3082694,2747.157197
936.6626694,3519.413298
1196.619212,2752.885292
596.4286912,1722.245806
703.5778514,1736.439881
275.2376578,2041.999158
660.6756138,3697.963966
473.730531,2431.895173
269.824766,1537.62972
600.3312722,1662.59641
357.9183299,1345.887382
130.7297335,1934.573071
120.4969893,1796.68542
333.4545612,1722.628869
463.869808,1365.053338
276.4821781,1549.886837
754.3631016,709.8053083
630.2187461,950.5622386
250.0976182,1271.964018
305.8796573,1251.794666
161.5131528,1378.191796
509.5530347,859.3518316
533.4903442,1639.525354
713.9242245,2054.373107
0,3479.724174
222.7154842,1584.671291
155.5967823,616.3508723
