Alpha,Beta
8447.513016,27057.18267
29531.21906,289542.7365
19668.29319,69837.46272
13440.05253,94032.9524
8465.604305,40612.17776
3407.461979,76222.93296
6765.630125,35497.95448
6577.685292,48460.5371
10419.88228,54885.45167
1959.179237,11978.45097
9157.870709,59419.58147
13986.76135,128266.5085
2318.44668,27079.14637
624.1832628,19972.71072
5272.907335,57889.80882
1447.065364,5973.668219
13699.08021,80717.42534
2007.182949,14236.46981
2428.054522,8651.909318
2905.176113,10867.63045
1042.629076,10002.86443
956.696003,4307.680576
1123.769016,12742.53816
4208.738863,35100.74521
918.2094632,6957.956164
333.2917398,5812.806978
481.3059019,5468.772122
2817.336265,12373.23733
975.4257484,2553.182559
1314.787887,4330.059095
5759,841.5318642
6858,3485.132798
8753,3710.340807
8223,2822.150612
896.897203,2415.402067
0,71608.66318
0,2139.641858
8227,2217.99875
1184.969535,6489.885657
0,6246.072398
